,Game,winner,winner.pred,winner.conf,WResult,Date
117,northernkentucky-oakland,northernkentucky,oakland,0.630565,0,1/5/2020
118,richmond-rhodeisland,richmond,rhodeisland,0.625607,0,1/5/2020
119,siena-rider,rider,rider,0.572811,1,1/5/2020
120,dayton-stjoes,dayton,dayton,0.920049,1,1/5/2020
121,massachusetts-stlouis,stlouis,stlouis,0.630227,1,1/5/2020
122,marist-stpeters,stpeters,stpeters,0.821076,1,1/5/2020
123,denver-southdakota,southdakota,southdakota,0.981108,1,1/5/2020
124,usc-washington,washington,usc,0.674741,0,1/5/2020
125,illinoischicago-uwmilwaukee,uwmilwaukee,uwmilwaukee,0.91997,1,1/5/2020
126,stjohns-xavier,xavier,xavier,0.688453,1,1/5/2020
127,louisianalafayette-appalachianst,louisianalafayette,appalachianst,0.574162,0,1/6/2020
128,georgiasouthern-arkansaslittlerock,arkansaslittlerock,arkansaslittlerock,0.632662,1,1/6/2020
129,georgiast-arkansasst,arkansasst,arkansasst,0.855291,1,1/6/2020
130,louisianamonroe-coastalcarolina,coastalcarolina,coastalcarolina,0.886221,1,1/6/2020
131,westvirginia-oklahomast,westvirginia,oklahomast,0.605357,0,1/6/2020
132,southalabama-texasarlington,southalabama,texasarlington,0.579817,0,1/6/2020
133,troy-texasst,troy,texasst,0.851952,0,1/6/2020
134,utahst-airforce,airforce,airforce,0.702245,1,1/7/2020
135,westernmichigan-akron,akron,akron,0.770258,1,1/7/2020
136,buffalo-ballst,ballst,buffalo,0.508664,0,1/7/2020
137,virginia-bostoncollege,bostoncollege,virginia,0.544904,0,1/7/2020
138,miamioh-bowlinggreen,bowlinggreen,bowlinggreen,0.677367,1,1/7/2020
139,northernillinois-centralmichigan,centralmichigan,centralmichigan,0.953842,1,1/7/2020
140,villanova-creighton,villanova,villanova,0.640124,1,1/7/2020
141,loyolachicago-drake,drake,drake,0.861946,1,1/7/2020
142,southflorida-eastcarolina,eastcarolina,eastcarolina,0.821605,1,1/7/2020
