"","School","Nickname","Conference","Location","Home Venue"
"127","Indiana State","Sycamores","MVC","Terre Haute, IN","Hulman Center"
"128","Iona","Gaels","MAAC","New Rochelle, NY","Hynes Athletic Center"
"129","Iowa","Hawkeyes","Big Ten","Iowa City, IA","Carver-Hawkeye Arena"
"130","Iowa State","Cyclones","Big 12","Ames, IA","Hilton Coliseum"
"131","IUPUI","Jaguars","Horizon","Indianapolis, IN","Indiana Farmers Coliseum"
"132","Jackson State","Tigers","SWAC","Jackson, MS","Williams Assembly Center"
"133","Jacksonville","Dolphins","A-Sun","Jacksonville, FL","Swisher Gymnasium"
"134","Jacksonville State","Gamecocks","OVC","Jacksonville, AL","Pete Mathews Coliseum"
"135","James Madison","Dukes","CAA","Harrisonburg, VA","James Madison University Convocation Center"
"136","Kansas","Jayhawks","Big 12","Lawrence, KS","Phog Allen Fieldhouse"
"137","Kansas State","Wildcats","Big 12","Manhattan, KS","Bramlage Coliseum"
"138","Kennesaw State","Owls","A-Sun","Kennesaw, GA","KSU Convocation Center"
"139","Kent State","Golden Flashes","MAC","Kent, OH","Memorial Athletic and Convocation Center"
"140","Kentucky","Wildcats","SEC","Lexington, KY","Rupp Arena"
"141","La Salle","Explorers","A-10","Philadelphia, PA","Tom Gola Arena"
"142","Lafayette","Leopards","Patriot","Easton, PA","Kirby Sports Center"
"143","Lamar","Cardinals","Southland","Beaumont, TX","Montagne Center"
"144","Lehigh","Mountain Hawks","Patriot","Bethlehem, PA","Stabler Arena"
"145","Liberty","Flames","A-Sun","Lynchburg, VA","Vines Center"
"146","Lipscomb","Bisons","A-Sun","Nashville, TN","Allen Arena"
"147","Little Rock","Trojans","Sun Belt","Little Rock, AR","Jack Stephens Center"
"148","Long Beach State","49ers","Big West","Long Beach, CA","Walter Pyramid"
"149","Long Island","Sharks","NEC","Brooklyn, NY","Steinberg Wellness Center"
"150","Longwood","Lancers","Big South","Farmville, VA","Willett Hall"
"151","Louisiana","Ragin' Cajuns","Sun Belt","Lafayette, LA","Cajundome"
"152","Louisiana Tech","Bulldogs","C-USA","Ruston, LA","Thomas Assembly Center"
"153","Louisiana-Monroe","Warhawks","Sun Belt","Monroe, LA","Fant-Ewing Coliseum"
"154","Louisville","Cardinals","ACC","Louisville, KY","KFC Yum! Center"
"155","Loyola (IL)","Ramblers","MVC","Chicago, IL","Joseph J. Gentile Center"
"156","Loyola (MD)","Greyhounds","Patriot","Baltimore, MD","Reitz Arena"
"157","Loyola Marymount","Lions","WCC","Los Angeles, CA","Gersten Pavilion"
"158","LSU","Tigers","SEC","Baton Rouge, LA","Pete Maravich Assembly Center"
"159","Maine","Black Bears","AM East","Orono, ME","Alfond Arena"
"160","Manhattan","Jaspers","MAAC","Riverdale, NY","Draddy Gymnasium"
"161","Marist","Red Foxes","MAAC","Poughkeepsie, NY","McCann Field House"
"162","Marquette","Golden Eagles","Big East","Milwaukee, WI","Fiserv Forum"
"163","Marshall","Thundering Herd","C-USA","Huntington, WV","Cam Henderson Center"
"164","Maryland","Terrapins","Big Ten","College Park, MD","XFINITY Center"
"165","Maryland-Eastern Shore","Hawks","MEAC","Princess Anne, MD","Hytche Athletic Center"
"166","Massachusetts","Minutemen","A-10","Amherst, MA","Mullins Center"
"167","McNeese State","Cowboys","Southland","Lake Charles, LA","Burton Coliseum"
"168","Memphis","Tigers","AAC","Memphis, TN","FedExForum"
"169","Mercer","Bears","SoCon","Macon, GA","Hawkins Arena"
"170","Merrimack College","Warriors","NEC","North Andover, MA","Bert Hammel Court"
"171","Miami (FL)","Hurricanes","ACC","Coral Gables, FL","Watsco Center"
"172","Miami (OH)","RedHawks","MAC","Oxford, OH","Millett Hall"
"173","Michigan","Wolverines","Big Ten","Ann Arbor, MI","Crisler Arena"
"174","Michigan State","Spartans","Big Ten","East Lansing, MI","Breslin Student Events Center"
"175","Middle Tennessee State","Blue Raiders","C-USA","Murfreesboro, TN","Murphy Center"
"176","Milwaukee","Panthers","Horizon","Milwaukee, WI","UW-Milwaukee Panther Arena"
"177","Minnesota","Gophers","Big Ten","Minneapolis, MN","Williams Arena"
"178","Mississippi State","Bulldogs","SEC","Starkville, MS","Humphrey Coliseum"
"179","Mississippi Valley State","Delta Devils","SWAC","Itta Bena, MS","Harrison HPER Complex"
"180","Missouri","Tigers","SEC","Columbia, MO","Mizzou Arena"
"181","Missouri State","Bears","MVC","Springfield, MO","JQH Arena"
"182","Monmouth","Hawks","MAAC","West Long Branch, NJ","OceanFirst Bank Center"
"183","Montana","Grizzlies","Big Sky","Missoula, MT","Dahlberg Arena"
"184","Montana State","Fighting Bobcats","Big Sky","Bozeman, MT","Worthington Arena"
"185","Morehead State","Eagles","OVC","Morehead, KY","Ellis Johnson Arena"
"186","Morgan State","Bears","MEAC","Baltimore, MD","Talmadge L. Hill Field House"
"187","Mount St. Mary's","Mountaineers","NEC","Emmitsburg, MD","Knott Arena"
"188","Murray State","Racers","OVC","Murray, KY","CFSB Center"
"189","N.J.I.T.","Highlanders","AM East","Newark, NJ","Wellness and Events Center"
"190","Navy","Midshipmen","Patriot","Annapolis, MD","Alumni Hall"
"191","NC State","Wolfpack","ACC","Raleigh, NC","PNC Arena"
"192","Nebraska","Cornhuskers","Big Ten","Lincoln, NE","Pinnacle Bank Arena"
"193","Nevada","Wolf Pack","MWC","Reno, NV","Lawlor Events Center"
"194","New Hampshire","Wildcats","AM East","Durham, NH","Lundholm Gym"
"195","New Mexico","Lobos","MWC","Albuquerque, NM","Dreamstyle Arena"
"196","New Mexico State","Aggies","WAC","Las Cruces, NM","Pan American Center"
"197","New Orleans","Privateers","Southland","New Orleans, LA","Lakefront Arena"
"198","Niagara","Purple Eagles","MAAC","Lewiston, NY","Gallagher Center"
"199","Nicholls State","Colonels","Southland","Thibodaux, LA","Stopher Gym"
"200","Norfolk State","Spartans","MEAC","Norfolk, VA","Joseph G. Echols Memorial Hall"
"201","North Alabama","Lions","A-Sun","Florence, AL","Flowers Hall"
"202","North Carolina","Tar Heels","ACC","Chapel Hill, NC","Dean Smith Center"
"203","North Carolina A&T","Aggies","MEAC","Greensboro, NC","Corbett Sports Center"
"204","North Carolina Central","Eagles","MEAC","Durham, NC","McLendon-McDougald Gymnasium"
"205","North Dakota","Fighting Hawks","Summit","Grand Forks, ND","Betty Engelstad Sioux Center"
"206","North Dakota State","Bison","Summit","Fargo, ND","Scheels Arena"
"207","North Florida","Ospreys","A-Sun","Jacksonville, FL","UNF Arena"
"208","North Texas","Mean Green","C-USA","Denton, TX","UNT Coliseum"
"209","Northeastern","Huskies","CAA","Boston, MA","Matthews Arena"
"210","Northern Arizona","Lumberjacks","Big Sky","Flagstaff, AZ","Walkup Skydome"
"211","Northern Colorado","Bears","Big Sky","Greeley, CO","Bank of Colorado Arena"
"212","Northern Illinois","Huskies","MAC","DeKalb, IL","Convocation Center"
"213","Northern Iowa","Panthers","MVC","Cedar Falls, IA","UNI-Dome"
"214","Northern Kentucky","Norse","Horizon","Highland Heights, KY","BB&T Arena"
"215","Northwestern","Wildcats","Big Ten","Evanston, IL","Welsh-Ryan Arena"
"216","Northwestern State","Demons","Southland","Natchitoches, LA","Prather Coliseum"
