"","Game","total.result","total.pred","total.conf","TResult","Date","Round"
"178","kansas-iowast","Under","Over",0.676232,0,0001-08-20,0.68
"179","arkansas-lsu","Over","Over",0.549183,1,0001-08-20,0.55
"180","pittsburgh-unc","Over","Under",0.694758,0,0001-08-20,0.69
"181","notredame-ncst","Under","Over",0.532268,0,0001-08-20,0.53
"182","nebraskaomaha-northdakota","Under","Under",0.778448,1,0001-08-20,0.78
"183","davidson-rhodeisland","Under","Under",0.645284,1,0001-08-20,0.65
"184","duquesne-stjoes","Under","Under",0.685443,1,0001-08-20,0.69
"185","georgewashington-stlouis","Under","Under",0.692188,1,0001-08-20,0.69
"186","wofford-samford","Under","Under",0.754486,1,0001-08-20,0.75
"187","nevada-sanjosest","Under","Under",0.703876,1,0001-08-20,0.7
"188","ucf-someth","Over","Over",0.516173,1,0001-08-20,0.52
"189","oklahoma-texas","Under","Over",0.625542,0,0001-08-20,0.63
"190","lasalle-massachusetts","Over","Under",0.820854,0,0001-08-20,0.82
"191","etsu-ncgreensboro","Under","Under",0.561867,1,0001-08-20,0.56
"192","westerncarolina-vmi","Over","Under",0.57782,0,0001-08-20,0.58
"193","floridast-wakeforest","Over","Over",0.718523,1,0001-08-20,0.72
"194","ipfw-westernillinois","Under","Over",0.576155,0,0001-08-20,0.58
"195","illinois-wisconsin","Over","Over",0.623567,1,0001-08-20,0.62
"196","setonhall-xavier","Over","Under",0.532104,0,0001-08-20,0.53
"197","hawaii-calstfullerton","Over","Under",0.761387,0,0001-09-20,0.76
"198","washingtonst-cal","Over","Under",0.763564,0,0001-09-20,0.76
"199","detroit-clevelandst","Under","Under",0.895767,1,0001-09-20,0.9
"200","easternillinois-easternkentucky","Over","Under",0.66062,0,0001-09-20,0.66
"201","montana-easternwashington","Over","Under",0.599783,0,0001-09-20,0.6
"202","charleston-elon","Over","Under",0.773917,0,0001-09-20,0.77
"203","louisianamonroe-georgiasouthern","Under","Under",0.829869,1,0001-09-20,0.83
"204","louisianalafayette-georgiast","Under","Under",0.602485,1,0001-09-20,0.6
"205","montanast-idaho","Over","Under",0.746182,0,0001-09-20,0.75
"206","southernutah-idahost","Under","Under",0.793767,1,0001-09-20,0.79
"207","murrayst-jacksonvillest","Over","Over",0.618002,1,0001-09-20,0.62
"208","delaware-jamesmadison","Over","Under",0.589655,0,0001-09-20,0.59
"209","purdue-michigan","Over","Over",0.679347,1,0001-09-20,0.68
"210","minnesota-michiganst","Under","Over",0.706464,0,0001-09-20,0.71
"211","marshall-mtsu","Over","Under",0.619835,0,0001-09-20,0.62
"212","siuedwardsville-moreheadst","Over","Under",0.910898,0,0001-09-20,0.91
"213","chicagost-nmsu","Over","Under",0.806745,0,0001-09-20,0.81
"214","floridainternational-northtexas","Under","Under",0.596696,1,0001-09-20,0.6
"215","hofstra-northeastern","Over","Over",0.526896,1,0001-09-20,0.53
"216","northdakotast-oralroberts","Over","Under",0.535482,0,0001-09-20,0.54
"217","arizona-oregon","Over","Over",0.837886,1,0001-09-20,0.84
"218","arizonast-oregonst","Over","Over",0.621986,1,0001-09-20,0.62
"219","floridaatlantic-rice","Over","Under",0.601736,0,0001-09-20,0.6
"220","northernarizona-sacramentost","Under","Over",0.529874,0,0001-09-20,0.53
"221","byu-stmarys","Over","Over",0.686726,1,0001-09-20,0.69
"222","gonzaga-sandiego","Under","Over",0.547275,0,0001-09-20,0.55
