"","player.name","player.rating","player.pos","player.ht","player.wt","player.nat.rank","player.pos.rank","player.state.rank","player.year","player.team"
"6882","mardracus wade","0.9535","sg","6-2",175,NA,NA,NA,2010,"alabama"""
"6883","jason carter","0.897","pf","6-8",230,154,32,17,2010,"alabama"""
"6884","kendall durant","0.8556","pg","6-3",185,NA,NA,NA,2010,"alabama"""
"6885","marvell waithe","0.8444","sf","6-9",216,NA,NA,NA,2010,"alabama"""
"6886","carl engstrom","0.7667","c""","7-1",250,541,51,1,2010,"alabama"""
"6887","rickey scott","0.915","cg","6-3",202,123,5,12,2010,"arkansas"""
"6888","ky madden","0.9","pg","6-5",170,149,31,1,2010,"arkansas"""
"6889","kikko haydar",NA,"pg","5-10",170,NA,NA,NA,2010,"arkansas"""
"6890","luke cothron","0.9802","pf","6-8",210,48,9,4,2010,"auburn"""
"6891","andre malone","0.9027","sg","6-4",195,147,38,9,2010,"auburn"""
"6892","shawn kemp","0.8958","c""","6-9",235,NA,NA,NA,2010,"auburn"""
"6893","allen payne","0.8755","pf","6-6",205,204,49,8,2010,"auburn"""
"6894","josh langford","0.8755","sf","6-6",210,213,49,3,2010,"auburn"""
"6895","adrian forbes","0.7667","pf","6-8",230,NA,NA,NA,2010,"auburn"""
"6896","chris denson",NA,"pg","6-2",180,NA,NA,NA,2010,"auburn"""
"6897","patric young","0.9933","c""","6-8",220,18,4,3,2010,"florida"""
"6898","casey prather","0.9791","sf","6-5",189,52,10,2,2010,"florida"""
"6899","erik murphy","0.9786","pf","6-9",220,55,10,1,2010,"florida"""
"6900","cody larson","0.906","pf","6-9",225,144,29,1,2010,"florida"""
"6901","will yeguete","0.8671","pf","6-7",210,227,52,16,2010,"florida"""
"6902","scottie wilbekin","0.7667","pg","6-2",175,605,130,44,2010,"florida"""
"6903","marcus thornton","0.9159","pf","6-7",215,121,26,7,2010,"georgia"""
"6904","donte williams","0.8532","pf","6-9",200,263,68,12,2010,"georgia"""
"6905","sherrard brantley","0.7667","pg","6-2",190,499,103,21,2010,"georgia"""
"6906","brandon knight","0.9983","pg","6-3",185,5,3,1,2010,"kentucky"""
"6907","enes kanter","0.9968","c""","6-9",240,8,1,1,2010,"kentucky"""
"6908","terrence jones","0.9966","sf","6-8",220,9,3,1,2010,"kentucky"""
"6909","doron lamb","0.9906","sg","6-4",175,24,4,1,2010,"kentucky"""
"6910","stacey poole","0.9813","sg","6-5",200,47,13,5,2010,"kentucky"""
"6911","eloy vargas","0.8333","c""","6-11",220,NA,NA,NA,2010,"kentucky"""
"6912","matt derenbecker","0.9701","sf","6-6",180,75,15,1,2010,"lsu"""
"6913","andre stringer","0.9223","sg","5-9",170,105,22,3,2010,"lsu"""
"6914","ralston turner","0.9172","sf","6-5",195,116,28,2,2010,"lsu"""
"6915","jalen courtney","0.8796","pf","6-7",200,177,41,4,2010,"lsu"""
"6916",NA,NA,NA,NA,NA,NA,NA,NA,2010,"mississippi-state"""
"6917","tony mitchell","0.9937","sf","6-8",220,16,4,2,2010,"missouri"""
"6918","phil pressey","0.9802","pg","5-10",160,49,13,4,2010,"missouri"""
"6919","ricardo ratliffe","0.9","pf","6-8",226,NA,NA,NA,2010,"missouri"""
"6920","kadeem green","0.8775","pf","6-8",185,200,47,13,2010,"missouri"""
"6921","ricky kreklow","0.8755","sg","6-5",185,209,48,1,2010,"missouri"""
"6922","matt pressey","0.8111","sg","6-2",175,NA,NA,NA,2010,"missouri"""
"6923","dundrecous nelson","0.9445","pg","5-11",180,95,21,1,2010,"ole-miss"""
"6924","demarco cox","0.9241","c""","6-8",285,104,10,2,2010,"ole-miss"""
"6925","isaiah massey","0.8556","pf","6-8",225,243,59,19,2010,"ole-miss"""
"6926","steadman short","0.8111","pf","6-9",215,NA,NA,NA,2010,"ole-miss"""
"6927","donald williams","0.8111","sg","6-4",180,400,96,35,2010,"ole-miss"""
"6928","john crnogorac",NA,"c""","6-11",216,NA,NA,NA,2010,"ole-miss"""
"6929","bruce ellington","0.9779","pg","5-10",185,57,14,1,2010,"south-carolina"""
"6930","damontre harris","0.9771","pf","6-9",200,59,12,5,2010,"south-carolina"""
"6931","rj slawson","0.9631","sf","6-7",185,89,20,2,2010,"south-carolina"""
"6932","brian richardson","0.8755","sg","6-4",165,210,49,14,2010,"south-carolina"""
