"","player.name","player.rating","player.pos","player.ht","player.wt","player.nat.rank","player.pos.rank","player.state.rank","player.year","player.team"
"3896","tanner leissner",NA,"pf","6-6",210,NA,NA,NA,2014,"new-hampshire"""
"3897","iba camara",NA,"pf","6-9",225,NA,NA,NA,2014,"new-hampshire"""
"3898","chris braley","0.7","sf","6-4",195,501,100,9,2014,"stony-brook"""
"3899","tyrell sturdivant",NA,"pf","6-7",280,NA,NA,NA,2014,"stony-brook"""
"3900","bryan sekunda",NA,"sf","6-5",NA,NA,NA,NA,2014,"stony-brook"""
"3901","deshaun thrower",NA,"sg","6-1",NA,NA,NA,NA,2014,"stony-brook"""
"3902","jourdan grant",NA,"pg","6-2",NA,NA,NA,NA,2014,"umbc"""
"3903","malcolm brent",NA,"sg","6-4",NA,NA,NA,NA,2014,"umbc"""
"3904","lamell washington",NA,"sf","6-7",215,NA,NA,NA,2014,"umbc"""
"3905","zach mcroberts",NA,"pf","6-7",185,NA,NA,NA,2014,"vermont"""
"3906","brandon hatton","0.8333","sg","6-2",185,318,72,6,2014,"vermont"""
"3907","drew urquhart",NA,"sf","6-8",215,NA,NA,NA,2014,"vermont"""
"3908","trae bell-haynes",NA,"pg","6-2",170,NA,NA,NA,2014,"vermont"""
"3909","ernie duncan","0.8333","pg","6-2",175,337,71,16,2014,"vermont"""
"3910","cam ward",NA,"pg","6-2",175,NA,NA,NA,2014,"vermont"""
"3911","gary clark","0.9488","pf","6-7",215,90,16,3,2014,"cincinnati"""
"3912","quadri moore","0.9189","c""","6-9",230,125,11,4,2014,"cincinnati"""
"3913","coreontae deberry","0.89","c""","6-9",260,NA,NA,NA,2014,"cincinnati"""
"3914","farad cobb","0.82","pg","6-1",170,NA,NA,NA,2014,"cincinnati"""
"3915","octavius ellis",NA,"pf","6-10",205,NA,NA,NA,2014,"cincinnati"""
"3916","lance tejada","0.8763","pg","6-1",180,183,36,18,2014,"east-carolina"""
"3917","grant bryant","0.81","pf","6-6",195,433,106,18,2014,"east-carolina"""
"3918","kanu aja","0.7","pf","6-9",250,NA,NA,NA,2014,"east-carolina"""
"3919","bj tyson",NA,"pg","6-3",175,NA,NA,NA,2014,"east-carolina"""
"3920","torian graham","0.92","sg","6-4",180,NA,NA,NA,2014,"houston"""
"3921","eric weary",NA,"sg","6-5",210,NA,NA,NA,2014,"houston"""
"3922","jc washington","0.8333","pf","6-6",210,330,85,24,2014,"houston"""
"3923","dominic magee","0.9384","pg","6-3",173,101,22,1,2014,"memphis"""
"3924","trahson burrell","0.91","sf","6-7",200,NA,NA,NA,2014,"memphis"""
"3925","avery woodson","0.83","sg","6-3",195,NA,NA,NA,2014,"memphis"""
"3926","chris hawkins","0.88","pf","6-5",245,NA,NA,NA,2014,"memphis"""
"3927",NA,NA,NA,NA,NA,NA,NA,NA,2014,"smu"""
"3928","troy holston","0.8869","sg","6-4",187,161,39,12,2014,"south-florida"""
"3929","ruben guerrero","0.8329","c""","6-10",210,347,32,7,2014,"south-florida"""
"3930","dinero mercurius","0.8294","pg","6-4",165,369,76,37,2014,"south-florida"""
"3931","nehemias morillo",NA,"sf","6-6",220,NA,NA,NA,2014,"south-florida"""
"3932",NA,NA,NA,NA,NA,NA,NA,NA,2014,"temple"""
"3933",NA,NA,NA,NA,NA,NA,NA,NA,2014,"tulane"""
"3934","micah littlejohn","0.8333","sf","6-5",180,317,65,21,2014,"tulsa"""
"3935","keondre dew","0.8574","pf","6-7",195,230,58,22,2014,"tulsa"""
"3936","adonys henriquez","0.9027","sg","6-7",205,143,35,11,2014,"central-florida"""
"3937","b.j. taylor","0.8344","pg","6-2",185,293,61,31,2014,"central-florida"""
"3938","terrell miller","0.8191","pf","6-8",235,405,100,41,2014,"central-florida"""
"3939","corey henderson","0.8333","sg","6-3",165,321,74,22,2014,"wichita-state"""
"3940","zach brown",NA,"sf","6-7",180,NA,NA,NA,2014,"wichita-state"""
"3941","tevin glass",NA,"sf","6-8",210,NA,NA,NA,2014,"wichita-state"""
"3942","bush wamukota ","0.88","c""","6-11",230,NA,NA,NA,2014,"wichita-state"""
"3943","rashard kelly","0.836","sf","6-5",190,286,59,12,2014,"wichita-state"""
"3944","eric hamilton","0.8304","pf","6-8",200,363,93,13,2014,"wichita-state"""
"3945","peyton aldridge","0.8333","pf","6-7",200,343,88,10,2014,"davidson"""
"3946","nathan ekwu","0.8137","pf","6-7",235,423,104,11,2014,"davidson"""
"3947","jordan watkins","0.8","pg","6-0",155,452,97,18,2014,"davidson"""
"3948","darrell davis","0.9052","sg","6-4",170,138,34,4,2014,"dayton"""
"3949","steve mcelvene","0.8333","c""","6-11",285,334,30,14,2014,"dayton"""
"3950","marqywell jackson","0.8505","sg","6-4",180,246,58,6,2014,"duquesne"""
"3951","jordan stevens",NA,"pg","-",NA,NA,NA,NA,2014,"duquesne"""
"3952",NA,NA,NA,NA,NA,NA,NA,NA,2014,"fordham"""
"3953","eric lockett","0.8294","sf","6-5",190,370,74,15,2014,"george-mason"""
"3954","trey porter","0.8","c""","6-10",190,453,49,17,2014,"george-mason"""
"3955","therence mayimba","0.8775","sf","6-5",200,179,46,8,2014,"george-mason"""
"3956","isaiah jackson","0.8188","sf","6-6",200,406,81,42,2014,"george-mason"""
"3957","yuta watanabe","0.8333","pf","6-8",205,314,81,3,2014,"george-washington"""
"3958","darian bryant",NA,"sg","6-5",200,NA,NA,NA,2014,"george-washington"""
"3959","matt cimino","0.875","pf","6-10",215,186,42,4,2014,"george-washington"""
"3960","anthony swan","0.8323","sf","6-6",185,359,72,14,2014,"george-washington"""
"3961","paul jorgenson","0.825","sg","6-3",185,385,86,16,2014,"george-washington"""
"3962",NA,NA,NA,NA,NA,NA,NA,NA,2014,"la-salle"""
"3963","jared terrell","0.975","sg","6-3",220,64,17,4,2014,"rhode-island"""
"3964","jarvis garrett","0.8446","pg","5-10",175,257,50,7,2014,"rhode-island"""
"3965","earl watson","0.7","pf","6-8",240,NA,NA,NA,2014,"rhode-island"""
"3966","kadeem smithen",NA,"pg","6-3",165,NA,NA,NA,2014,"richmond"""
"3967","khwan fore","0.7","pg","6-0",165,527,115,15,2014,"richmond"""
"3968","paul friendshuh",NA,"pf","6-9",220,NA,NA,NA,2014,"richmond"""
"3969","chandler diekvoss",NA,"sf","6-6",190,NA,NA,NA,2014,"richmond"""
"3970","james demery","0.8819","sg","6-4",170,167,42,5,2014,"saint-josephs"""
"3971","shavar newkirk","0.8634","pg","5-11",175,217,42,3,2014,"saint-josephs"""
"3972","markell lodge","0.8417","pf","6-6",205,269,70,8,2014,"saint-josephs"""
"3973","obi romeo",NA,"c""","6-10",NA,NA,NA,NA,2014,"saint-josephs"""
"3974","elliott welmer","0.8062","sf","6-8",175,445,89,22,2014,"saint-louis"""
"3975","davell roby","0.8633","pg","6-4",195,219,43,4,2014,"saint-louis"""
"3976","miles reynolds","0.8432","pg","6-2",170,263,51,16,2014,"saint-louis"""
"3977","marcus bartley","0.8333","pg","6-2",175,319,68,23,2014,"saint-louis"""
"3978","milik yarbrough","0.8329","sf","6-6",190,355,71,24,2014,"saint-louis"""
"3979","brett jolly","0.8254","c""","6-10",220,382,41,15,2014,"saint-louis"""
"3980","austin gillman",NA,"c""","6-11",200,NA,NA,NA,2014,"saint-louis"""
"3981","jordan tyson",NA,"pf","6-10",225,NA,NA,NA,2014,"saint-bonaventure"""
"3982","jaylen adams",NA,"pg","6-2",185,NA,NA,NA,2014,"saint-bonaventure"""
"3983","idris taqqee",NA,"sg","6-4",185,NA,NA,NA,2014,"saint-bonaventure"""
"3984","iakeem alston",NA,"pg","-",NA,NA,NA,NA,2014,"saint-bonaventure"""
"3985","malik hines","0.8333","pf","6-9",200,310,79,12,2014,"massachusetts"""
"3986","rashaan holloway","0.7667","pf","6-9",300,469,114,19,2014,"massachusetts"""
"3987","c.j. anderson","0.836","sg","6-4",175,285,67,5,2014,"massachusetts"""
"3988","terry larrier","0.986","sf","6-7",172,34,10,1,2014,"virginia-commonwealth"""
"3989","justin tillman","0.93","pf","6-7",190,113,20,3,2014,"virginia-commonwealth"""
"3990","michael gilmore","0.9029","pf","6-9",210,142,31,10,2014,"virginia-commonwealth"""
"3991","jonathan williams","0.8598","pg","5-11",172,228,45,9,2014,"virginia-commonwealth"""
"3992","zach johnson","0.8385","sg","6-1",185,276,65,28,2014,"florida-gulf-coast"""
"3993","christian terrell",NA,"pg","6-2",NA,NA,NA,NA,2014,"florida-gulf-coast"""
"3994","eric moeller",NA,"c""","6-10",230,NA,NA,NA,2014,"florida-gulf-coast"""
"3995","antwon clayton",NA,"sf","6-6",200,NA,NA,NA,2014,"jacksonville"""
"3996","amir warnock","0.7981","c""","6-8",235,458,50,24,2014,"jacksonville"""
"3997","nick masterson",NA,"sg","6-4",175,NA,NA,NA,2014,"kennesaw-state"""
"3998","justin diecker",NA,"pf","6-9",230,NA,NA,NA,2014,"kennesaw-state"""
"3999","jordan dembley",NA,"pg","6-1",170,NA,NA,NA,2014,"liberty"""
"4000","evan maxwell",NA,"c""","6-10",235,NA,NA,NA,2014,"liberty"""
"4001","stavian allen",NA,"sf","6-8",180,NA,NA,NA,2014,"liberty"""
"4002","aaron korn","0.83","sg","6-4",180,367,82,19,2014,"lipscomb"""
"4003","asa duvall","0.82","sg","6-2",185,402,94,16,2014,"lipscomb"""
"4004","george brammeier",NA,"c""","6-9",225,NA,NA,NA,2014,"lipscomb"""
"4005","demetre rivers",NA,"pf","6-6",NA,NA,NA,NA,2014,"mercer"""
"4006","stephon jelks",NA,"sf","6-4",190,NA,NA,NA,2014,"mercer"""
"4007","jestin lewis",NA,"sg","6-2",170,NA,NA,NA,2014,"mercer"""
"4008","tyre moore",NA,"sf","6-4",NA,NA,NA,NA,2014,"mercer"""
"4009","niklas ney",NA,"c""","6-10",NA,NA,NA,NA,2014,"mercer"""
"4010",NA,NA,NA,NA,NA,NA,NA,NA,2014,"south-carolina-upstate"""
"4011","jonathan joseph","0.8683","sf","6-5",185,206,50,20,2014,"stetson"""
"4012","grant lozoya",NA,"sg","6-4",180,NA,NA,NA,2014,"stetson"""
"4013","wyatt sikora",NA,"c""","6-10",200,NA,NA,NA,2014,"stetson"""
"4014","divine myles",NA,"pg","5-10",160,NA,NA,NA,2014,"stetson"""
"4015","kelan martin","0.9045","pf","6-6",210,140,30,2,2014,"butler"""
"4016","jackson davis","0.8562","pf","6-8",220,236,61,5,2014,"butler"""
"4017","tyler wideman","0.836","pf","6-7",245,287,74,8,2014,"butler"""
"4018","daniel hamilton","0.9926","sg","6-8",178,17,6,2,2014,"uconn"""
"4019","sam cassell jr.","0.88","cg","6-3",175,NA,NA,NA,2014,"uconn"""
"4020","rakim lubin","0.8187","pf","6-7",220,408,101,9,2014,"uconn"""
"4021","ronnie harrell","0.9624","sf","6-6",170,84,21,1,2014,"creighton"""
"4022","leon gilmore","0.9063","sf","6-7",200,136,34,8,2014,"creighton"""
"4023","darrick wood","0.89","sg","6-4",185,159,38,1,2014,"depaul"""
"4024","jon davis","0.8218","pg","6-2",180,395,81,12,2014,"depaul"""
"4025","rashaun stimage",NA,"sf","6-8",NA,NA,NA,NA,2014,"depaul"""
"4026","isaac copeland","0.9901","sf","6-9.5",187,24,6,2,2014,"georgetown"""
"4027","paul white","0.9794","sf","6-9",195,55,13,5,2014,"georgetown"""
"4028","l.j. peak","0.9748","sg","6-5",180,65,18,1,2014,"georgetown"""
"4029","tre campbell","0.9309","pg","6-2",165,107,25,2,2014,"georgetown"""
"4030","trey mourning","0.8385","pf","6-9",210,277,71,29,2014,"georgetown"""
"4031",NA,NA,NA,NA,NA,NA,NA,NA,2014,"marquette"""
"4032","paschal chukwu","0.9744","c""","7-2",210,67,7,1,2014,"providence"""
"4033","ben bentil","0.9438","pf","6-8",230,95,17,1,2014,"providence"""
"4034","jalen lindsey","0.9678","sf","6-6",195,77,19,3,2014,"providence"""
"4035","kyron cartwright","0.8416","pg","5-11",165,270,53,25,2014,"providence"""
"4036","isaiah whitehead","0.9952","sg","6-4",195,14,4,1,2014,"seton-hall"""
"4037","angel delgado","0.982","pf","6-9",215,47,9,2,2014,"seton-hall"""
"4038","khadeen carrington","0.9022","sg","6-2.5",177,144,36,2,2014,"seton-hall"""
"4039","desi rodriguez","0.8329","sf","6-5",200,349,70,7,2014,"seton-hall"""
"4040","mike nzei","0.8279","sf","6-8",200,377,76,8,2014,"seton-hall"""
"4041","ismael sanogo","0.8271","sf","6-6",185,378,77,14,2014,"seton-hall"""
"4042","adonis de la rosa","0.8262","c""","6-11",255,379,40,9,2014,"saint-johns"""
"4043","keith thomas","0.84","pf","6-9",220,NA,NA,NA,2014,"saint-johns"""
"4044","matt kennedy",NA,"pg","6-2",175,NA,NA,NA,2014,"villanova"""
"4045","tom leibig",NA,"sf","6-4",195,NA,NA,NA,2014,"villanova"""
"4046","phil booth","0.9679","sg","6-2",181,75,21,4,2014,"villanova"""
"4047","mikal bridges","0.9632","sf","6-6",178,81,20,3,2014,"villanova"""
"4048","trevon bluiett","0.9845","sf","6-6",185,39,11,3,2014,"xavier"""
"4049","makinde london","0.9515","pf","6-10",195,88,15,6,2014,"xavier"""
"4050","j.p. macura","0.9382","sg","6-4",180,102,26,3,2014,"xavier"""
"4051","edmond sumner","0.933","pg","6-4",149,106,24,2,2014,"xavier"""
"4052","sean o&#39;mara","0.8943","c""","6-8",210,156,15,11,2014,"xavier"""
"4053","larry austin","0.9076","pg","6-1",165,132,29,9,2014,"xavier"""
"4054",NA,NA,NA,NA,NA,NA,NA,NA,2014,"cal-poly"""
"4055","kyle allman",NA,"cg","6-3",175,NA,NA,NA,2014,"cal-state-fullerton"""
"4056","arkim robertson",NA,"pf","6-9",230,NA,NA,NA,2014,"cal-state-fullerton"""
"4057","isaac fleming","0.8333","pg","6-3",190,301,63,11,2014,"hawaii"""
"4058","sammis reyes",NA,"sf","6-6",240,NA,NA,NA,2014,"hawaii"""
"4059",NA,NA,NA,NA,NA,NA,NA,NA,2014,"long-beach-state"""
"4060",NA,NA,NA,NA,NA,NA,NA,NA,2014,"uc-santa-barbara"""
"4061","torin dorn","0.825","sg","6-4",180,386,87,13,2014,"charlotte"""
"4062","keyshawn woods","0.8429","sg","6-3",180,266,63,7,2014,"charlotte"""
"4063",NA,NA,NA,NA,NA,NA,NA,NA,2014,"florida-international"""
"4064","cj turman","0.8948","pf","6-9",235,155,33,9,2014,"florida-atlantic"""
"4065","traevis graham",NA,"sf","6-5",185,NA,NA,NA,2014,"florida-atlantic"""
"4066","xavian stapleton",NA,"sf","6-5",180,NA,NA,NA,2014,"louisiana-tech"""
"4067","joniah white","0.8677","c""","6-10",195,208,19,2,2014,"louisiana-tech"""
"4068","jacobi boykins","0.8144","sf","6-4",180,419,83,43,2014,"louisiana-tech"""
"4069","dayon griffin",NA,"sf","6-5",185,NA,NA,NA,2014,"louisiana-tech"""
"4070","branden sheppard",NA,"pf","6-7",200,NA,NA,NA,2014,"louisiana-tech"""
"4071","jay johnson",NA,"pf","6-7",210,NA,NA,NA,2014,"marshall"""
"4072","henry uwadiae",NA,"c""","6-11",210,NA,NA,NA,2014,"marshall"""
"4073","shane hall","0.8738","pf","6-8",200,188,44,3,2014,"marshall"""
"4074","jaquel richmond","0.8721","pg","6-0",170,195,38,6,2014,"middle-tennessee-state"""
"4075","darnell harris","0.85","pf","6-7",220,NA,NA,NA,2014,"middle-tennessee-state"""
"4076","shaheed davis",NA,"pf","6-9",200,NA,NA,NA,2014,"middle-tennessee-state"""
"4077","xavier habersham",NA,"sf","6-6",200,NA,NA,NA,2014,"middle-tennessee-state"""
"4078","jacob ivory",NA,"pg","6-0",160,NA,NA,NA,2014,"middle-tennessee-state"""
"4079","devante jones",NA,"sg","5-11",175,NA,NA,NA,2014,"middle-tennessee-state"""
"4080","ed simpson",NA,"sg","6-3",185,NA,NA,NA,2014,"middle-tennessee-state"""
"4081","deandre harris",NA,"sg","6-3",180,NA,NA,NA,2014,"north-texas"""
"4082","jeremy combs",NA,"pf","6-7",200,NA,NA,NA,2014,"north-texas"""
"4083","carrington ward",NA,"sg","6-3",NA,NA,NA,NA,2014,"north-texas"""
"4084","zoran talley",NA,"sf","6-7",185,NA,NA,NA,2014,"old-dominion"""
"4085","javonte douglas",NA,"sf","6-7",190,NA,NA,NA,2014,"old-dominion"""
"4086","jack williams","0.8333","pf","6-8",195,333,86,31,2014,"rice"""
"4087","bishop mency","0.8333","sf","6-5",185,316,64,29,2014,"rice"""
"4088","maurice rivers","0.8161","sf","6-6",180,416,82,17,2014,"rice"""
"4089","nate pollard","0.8088","c""","7-0",205,NA,NA,NA,2014,"rice"""
"4090","rasham suarez","0.85","pg","6-3",205,NA,NA,NA,2014,"southern-mississippi"""
"4091","tim rowe","0.7667","c""","6-10",220,488,52,14,2014,"southern-mississippi"""
"4092","davaris mcgowens","0.76","sf","6-5",220,495,98,10,2014,"southern-mississippi"""
"4093","edson avila",NA,"pf","6-10",235,NA,NA,NA,2014,"southern-mississippi"""
"4094","keljin blevins",NA,"sf","6-5",200,NA,NA,NA,2014,"southern-mississippi"""
"4095","arroyo edwards",NA,"sg","6-5",190,NA,NA,NA,2014,"utsa"""
"4096","austin karrer",NA,"sg","6-3",175,NA,NA,NA,2014,"utsa"""
"4097","christian wilson",NA,"pg","6-2",170,NA,NA,NA,2014,"utsa"""
"4098","james ringholt",NA,"pf","6-10",210,NA,NA,NA,2014,"utsa"""
"4099","william lee","0.9074","pf","6-8",192,133,26,4,2014,"alabama-birmingham"""
"4100","lewis sullivan","0.8409","sf","6-7",190,271,57,6,2014,"alabama-birmingham"""
"4101","chris cokley","0.8087","pf","6-8",220,438,108,19,2014,"alabama-birmingham"""
"4102","jarvis calhoun","0.8062","sg","6-0",185,444,99,10,2014,"alabama-birmingham"""
"4103","shaq carr","0.8696","pg","6-1",175,202,39,7,2014,"utep"""
"4104","omega harris","0.8691","pg","6-2",170,204,40,3,2014,"utep"""
"4105","lewis stallworth",NA,"sg","6-2",180,NA,NA,NA,2014,"utep"""
"4106","trey touchet",NA,"sg","6-2",180,NA,NA,NA,2014,"utep"""
"4107","terry winn",NA,"pf","6-7",233,NA,NA,NA,2014,"utep"""
"4108","derrick clayton","0.8444","sf","6-5",182,258,54,24,2014,"western-kentucky"""
"4109","avery patterson","0.8354","pg","6-0",180,288,59,11,2014,"western-kentucky"""
"4110","justin johnson","0.8254","sf","6-7",235,383,79,8,2014,"western-kentucky"""
"4111","ayinde sprewell","0.82","sg","6-3",190,NA,NA,NA,2014,"western-kentucky"""
"4112","rob marberry","0.8072","pf","6-7",215,440,109,7,2014,"western-kentucky"""
"4113","terrell hales",NA,"sg","6-4",180,NA,NA,NA,2014,"cleveland-state"""
"4114","jonathan janssen",NA,"sf","6-9",NA,NA,NA,NA,2014,"cleveland-state"""
"4115","jaleel hogan",NA,"pf","6-6",250,NA,NA,NA,2014,"detroit"""
"4116","aaron foster-smith",NA,"pf","6-7",215,NA,NA,NA,2014,"detroit"""
"4117","jordan garnett","0.8333","sf","6-4",190,304,62,9,2014,"northern-kentucky"""
"4118","tayler persons",NA,"pg","6-2",185,NA,NA,NA,2014,"northern-kentucky"""
"4119","alex frascone",NA,"pg","6-0",150,NA,NA,NA,2014,"oakland"""
"4120","femi olujobi",NA,"pf","6-8",220,NA,NA,NA,2014,"oakland"""
"4121","collin weaver",NA,"sg","6-3",180,NA,NA,NA,2014,"oakland"""
"4122","tai odiase","0.7667","pf","6-8",190,468,113,27,2014,"uic"""
"4123","grant sims",NA,"sg","6-3",165,NA,NA,NA,2014,"uic"""
"4124","kerem kanter",NA,"pf","6-10",240,NA,NA,NA,2014,"wisconsin-green-bay"""
"4125","daeshon francis","0.8254","sg","6-3",170,384,85,20,2014,"wisconsin-green-bay"""
"4126","jerelle deberry","0.8112","sf","6-4",175,430,86,15,2014,"wisconsin-green-bay"""
"4127",NA,NA,NA,NA,NA,NA,NA,NA,2014,"wisconsin-milwaukee"""
"4128","grant evans","0.8333","sg","6-2",170,328,76,13,2014,"wright-state"""
"4129","joe thomasson","0.81","pg","6-4",180,NA,NA,NA,2014,"wright-state"""
"4130","justin mitchell","0.7667","pg","6-4",180,485,103,27,2014,"wright-state"""
"4131","roderick davis",NA,"pf","6-8",NA,NA,NA,NA,2014,"wright-state"""
"4132","grant benzinger",NA,"sg","6-4",180,NA,NA,NA,2014,"wright-state"""
"4133","bryce nickels","0.79","pf","6-8",210,463,111,44,2014,"youngstown-state"""
"4134","sidney umude",NA,"pf","6-7",195,NA,NA,NA,2014,"youngstown-state"""
"4135","ja&#39;christian biles",NA,"sg","6-2",NA,NA,NA,NA,2014,"youngstown-state"""
"4136","jamal reynolds",NA,"sg","6-5",172,NA,NA,NA,2014,"canisius"""
"4137","raven owen",NA,"pg","5-11",170,NA,NA,NA,2014,"canisius"""
"4138","jerome segura",NA,"pg","5-10",NA,NA,NA,NA,2014,"fairfield"""
"4139","kevin degnan",NA,"pf","6-8",215,NA,NA,NA,2014,"fairfield"""
"4140","tyler nelson",NA,"sg","6-0",165,NA,NA,NA,2014,"fairfield"""
"4141","najeal young",NA,"sf","6-6",NA,NA,NA,NA,2014,"iona"""
"4142","bashir ahmed",NA,"sf","6-5",175,NA,NA,NA,2014,"iona"""
"4143","dwayne daniel",NA,"pg","5-11",NA,NA,NA,NA,2014,"iona"""
"4144","schadrac casimir",NA,"pg","5-9",150,NA,NA,NA,2014,"iona"""
"4145","calvin crawford",NA,"sf","6-7",185,NA,NA,NA,2014,"manhattan"""
"4146","zane waterman","0.8101","pf","6-7",210,432,105,16,2014,"manhattan"""
"4147","samson usilo",NA,"sf","6-4",205,NA,NA,NA,2014,"manhattan"""
"4148","samson  akilo",NA,"c""","6-8",195,NA,NA,NA,2014,"manhattan"""
"4149","rj coil",NA,"pf","6-8",NA,NA,NA,NA,2014,"marist"""
"4150","kj lee",NA,"sg","6-4",NA,NA,NA,NA,2014,"marist"""
"4151","micah seaborn",NA,"sg","6-5",195,NA,NA,NA,2014,"monmouth"""
"4152","nikola vujovic",NA,"pf","6-8",NA,NA,NA,NA,2014,"monmouth"""
"4153",NA,NA,NA,NA,NA,NA,NA,NA,2014,"niagra"""
"4154","samuel dingba",NA,"sf","6-6",205,NA,NA,NA,2014,"quinnipiac"""
"4155","dimitri floras",NA,"sg","6-2",180,NA,NA,NA,2014,"quinnipiac"""
"4156","ayron hutton",NA,"sg","6-3",NA,NA,NA,NA,2014,"quinnipiac"""
"4157","chaise daniels",NA,"pf","6-8",215,NA,NA,NA,2014,"quinnipiac"""
"4158","kenny grant",NA,"c""","6-9",240,NA,NA,NA,2014,"rider"""
"4159","josh williams",NA,"sf","6-6",170,NA,NA,NA,2014,"rider"""
"4160","anthony durham",NA,"pg","6-3",190,NA,NA,NA,2014,"rider"""
"4161",NA,NA,NA,NA,NA,NA,NA,NA,2014,"saint-peters"""
"4162","willem brandwijk",NA,"pf","6-8",NA,NA,NA,NA,2014,"siena"""
"4163","jimmy paige",NA,"sf","6-4",170,NA,NA,NA,2014,"siena"""
"4164","cameron gottfried",NA,"sg","6-1",175,NA,NA,NA,2014,"siena"""
"4165","noah robotham","0.8282","pg","5-10",160,374,77,10,2014,"akron"""
"4166","jimond ivey",NA,"sg","6-4",180,NA,NA,NA,2014,"akron"""
"4167","antino jackson",NA,"pg","5-10",155,NA,NA,NA,2014,"akron"""
"4168","jeremie tyler","0.8333","sg","6-2",170,320,73,10,2014,"ball-state"""
"4169","sean sellers","0.8037","sg","6-6",175,447,100,23,2014,"ball-state"""
"4170","francis kiapway","0.7667","cg","6-2",180,467,9,5,2014,"ball-state"""
"4171","rashaun richardson","0.7667","sf","6-7",180,473,93,24,2014,"ball-state"""
"4172","bernard edwards","0.7667","pg","6-0",160,476,101,47,2014,"bowling-green"""
"4173","rasheed worrell","0.7","pf","6-8",205,506,122,13,2014,"bowling-green"""
"4174","david joseph",NA,"pg","6-0",180,NA,NA,NA,2014,"bowling-green"""
"4175","lamonte bearden","0.8419","pg","6-2",160,268,52,4,2014,"buffalo"""
"4176","mory diane","0.7993","sg","6-3",170,456,102,8,2014,"buffalo"""
"4177","raheem johnson",NA,"pf","6-9",250,NA,NA,NA,2014,"buffalo"""
"4178","ikenna smart",NA,"c""","6-10",250,NA,NA,NA,2014,"buffalo"""
"4179","bobby frasco",NA,"sf","6-5",180,NA,NA,NA,2014,"buffalo"""
"4180","josh kozinski","0.7","sg","6-4",180,507,113,9,2014,"central-michigan"""
"4181","luke meyer",NA,"pf","6-10",205,NA,NA,NA,2014,"central-michigan"""
"4182",NA,NA,NA,NA,NA,NA,NA,NA,2014,"eastern-michigan"""
"4183","raasean davis","0.8294","pf","6-7",220,368,96,14,2014,"kent-state"""
"4184","gary akbar",NA,"sf","6-4",190,NA,NA,NA,2014,"kent-state"""
"4185","marvin jones",NA,"pf","6-10",225,NA,NA,NA,2014,"kent-state"""
"4186","rosel hurley","0.7667","sg","6-5",185,477,106,14,2014,"kent-state"""
"4187","roderick mills","0.7667","sf","6-7",185,474,94,13,2014,"miami-ohio"""
"4188","zach mccormick","0.8513","cg","6-1",170,243,2,8,2014,"miami-ohio"""
"4189","logan mclane","0.8333","pf","6-8",210,311,80,10,2014,"miami-ohio"""
"4190","maurice ndour","0.7","pf","6-8",210,NA,NA,NA,2014,"ohio"""
"4191","rodell wigginton",NA,"sf","6-7",220,NA,NA,NA,2014,"ohio"""
"4192","kendall crute","0.8","sg","6-2",175,450,101,22,2014,"ohio"""
"4193","cuyler mosley","0.7667","sg","6-3",170,484,110,48,2014,"toledo"""
"4194","kurt hall",NA,"sf","6-6",200,NA,NA,NA,2014,"toledo"""
"4195","mario matasovic","0.7","sf","6-7",190,521,105,8,2014,"western-michigan"""
"4196","thomas wilder",NA,"pg","6-2",165,NA,NA,NA,2014,"western-michigan"""
"4197","drake lamont",NA,"pf","6-8",215,NA,NA,NA,2014,"western-michigan"""
"4198","josh cunningham","0.9301","sf","6-6.5",189,111,28,8,2014,"bradley"""
"4199","donte thomas","0.8333","sf","6-6",190,306,63,22,2014,"bradley"""
"4200","tramique sutherland",NA,"pg","5-11",170,NA,NA,NA,2014,"bradley"""
"4201","warren jones",NA,"sg","6-3",175,NA,NA,NA,2014,"bradley"""
"4202","kory kuenstling","0.8333","c""","6-10",215,313,29,1,2014,"drake"""
"4203","casey schlatter","0.8333","pf","6-8",190,315,82,2,2014,"drake"""
"4204","ore arogundade","0.8177","pg","6-2",170,409,85,25,2014,"drake"""
"4205","c.j. rivers","0.7667","pg","6-2",175,471,100,28,2014,"drake"""
"4206","reed timmer",NA,"pg","6-1",NA,NA,NA,NA,2014,"drake"""
"4207","laquarious page",NA,"sg","6-3",175,NA,NA,NA,2014,"indiana-state"""
"4208","tre bennett",NA,"pg","5-10",175,NA,NA,NA,2014,"indiana-state"""
"4209","brandon murphy",NA,"pf","6-7",270,NA,NA,NA,2014,"indiana-state"""
"4210","ben richardson",NA,"sg","6-2",180,NA,NA,NA,2014,"loyola"""
"4211","donte  ingram",NA,"sf","6-5",195,NA,NA,NA,2014,"loyola"""
"4212","marlon jones","0.851","pf","6-8",200,245,62,14,2014,"loyola"""
"4213","jay knuth",NA,"sf","6-4",180,NA,NA,NA,2014,"loyola"""
"4214","robin thompson",NA,"pf","6-6",220,NA,NA,NA,2014,"missouri-state"""
"4215","chris kendrix",NA,"sg","6-5",180,NA,NA,NA,2014,"missouri-state"""
"4216","camyn boone",NA,"sf","6-6",230,NA,NA,NA,2014,"missouri-state"""
"4217",NA,NA,NA,NA,NA,NA,NA,NA,2014,"northern-iowa"""
"4218","jordan caroline",NA,"pf","6-6",235,NA,NA,NA,2014,"southern-illinois"""
"4219","deion lavender","0.8137","sg","6-3",180,424,97,26,2014,"southern-illinois"""
