Game.,Team,FGM,FGA,X3PM,X3PA,FTM,FTA,OREB,TR,AST,TO,STL,BLK,PF,PTS
295,stfrancispa,20,56,2,18,16,23,9,35,10,15,8,3,20,58
295,pennst,26,59,2,11,13,20,18,40,16,16,8,6,19,67
296,jacksonvillest,19,55,3,12,8,18,10,42,6,15,3,2,13,49
296,southernillinois,34,66,7,20,9,13,13,58,18,11,8,4,13,84
297,nichollsst,16,44,8,21,14,21,4,22,11,29,8,0,18,54
297,floridast,38,69,13,31,10,15,9,38,22,17,18,2,19,99
298,centralmichigan,24,55,7,19,7,10,3,28,14,15,4,2,24,62
298,santaclara,27,60,5,16,17,24,11,42,16,15,8,4,16,76
299,westernillinois,17,47,8,15,13,20,6,59,10,21,4,2,17,55
299,unlv,31,71,5,22,8,13,14,86,18,13,8,2,17,75
300,alabamaAM,24,58,9,27,8,15,15,34,20,19,2,1,23,65
300,texasAM,37,72,7,19,19,25,18,41,29,8,13,0,18,100
301,louisianamonroe,18,55,2,12,8,18,8,29,8,16,8,1,20,46
301,rhodeisland,33,61,3,9,9,18,15,45,15,16,7,2,17,78
302,bradley,23,50,7,17,30,38,8,36,12,18,5,1,21,83
302,miamifl,28,53,10,17,16,23,9,40,18,20,3,2,27,82
303,denver,26,44,4,15,17,25,5,27,9,19,2,1,30,73
303,easternwashington,25,50,6,16,21,31,7,22,13,12,2,2,23,77
304,yale,20,38,4,15,11,15,8,33,13,19,12,6,16,63
304,bucknell,19,36,6,18,6,9,9,30,15,19,12,2,17,62
305,austinpeay,27,60,6,23,5,6,12,51,15,17,9,2,16,65
305,belmont,25,59,10,30,8,11,9,40,19,15,11,1,12,68
306,SIUEdwardsville,22,49,3,13,9,12,4,28,9,28,7,4,22,56
306,murrayst,30,64,5,15,16,24,19,61,20,22,17,8,19,81
307,youngstownst,25,51,8,21,16,26,10,37,10,17,7,5,25,74
307,toledo,24,60,4,14,26,35,16,36,10,12,9,0,23,78
308,ucf,23,54,4,17,13,19,13,38,9,22,8,2,22,63
308,charleston,23,54,6,20,20,29,10,33,17,16,11,1,17,72
309,radford,32,66,5,13,17,33,11,42,17,21,13,3,27,86
309,ncat,18,65,5,20,18,31,16,40,11,25,7,9,28,59
310,pacific,25,61,3,11,16,17,10,31,16,17,9,2,23,69
310,duke,26,52,9,17,21,27,8,32,12,16,7,8,22,82
311,texasst,19,44,6,16,6,12,6,22,11,17,2,2,27,50
311,purdue,19,55,4,21,19,23,11,34,14,10,6,1,17,61
312,liberty,26,65,6,17,7,10,15,45,18,21,11,5,17,65
312,canisius,21,56,3,18,3,11,9,31,15,20,11,5,14,48
313,utah,17,48,4,11,6,21,8,47,9,13,6,2,15,44
313,connecticut,33,53,2,4,8,11,7,72,22,16,6,3,16,76
314,florida,29,70,8,20,12,20,10,43,14,15,13,5,16,78
314,arizona,31,81,5,21,10,13,16,54,21,16,7,9,19,77
315,tennesseetech,32,65,7,21,10,13,8,31,13,22,9,1,17,81
315,kentucky,40,77,10,30,18,20,16,40,24,16,9,2,16,108
316,albany,22,61,9,27,1,1,11,29,16,6,2,1,13,54
316,pittsburgh,30,58,14,29,9,14,12,41,20,8,3,5,11,83
317,floridaAM,22,67,6,26,12,17,16,37,10,24,9,1,23,62
317,ncst,34,63,10,24,14,22,9,43,25,22,15,2,18,92
318,texastech,23,59,3,9,16,26,13,34,6,16,9,3,22,65
318,georgiatech,30,54,7,17,18,28,6,38,18,14,8,3,20,85
319,setonhall,24,52,2,11,13,20,9,30,9,21,4,1,23,63
319,purdue,24,52,4,13,23,28,10,34,16,17,8,2,20,75
320,holycross,16,32,4,14,11,19,12,32,11,18,9,1,19,55
320,princeton,12,17,10,27,7,10,6,23,17,16,9,2,15,61
321,canisius,24,59,8,18,6,8,10,33,20,10,4,2,19,62
321,pacific,16,44,4,14,23,29,9,33,10,13,3,5,13,59
322,washingtonst,14,55,7,36,1,2,11,26,10,11,5,3,15,36
322,southernutah,21,46,6,14,7,12,13,44,6,15,5,3,8,55
323,tennesseest,23,74,8,26,2,2,14,51,15,16,10,0,21,56
323,tennessee,26,53,9,20,20,33,9,55,20,16,9,8,9,81
324,virginiatech,26,72,4,16,9,15,16,44,12,10,4,5,21,65
324,virginia,30,61,9,21,11,18,8,39,15,12,3,1,17,80
